#,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-07-08T20:27:18', checksum=2945867503, risk_investigation_time=1.0, kind='agg_curves-mean'"
return_period,loss_value,loss_type,GenType,loss_ratio,annual_frequency_of_exceedence
2500,1.03874E+07,contents,*total*,3.16386E-02,4.00000E-04
25,3.83555E+03,nonstructural,*total*,4.17132E-06,4.00000E-02
50,5.84457E+04,nonstructural,*total*,6.35620E-05,2.00000E-02
100,3.40130E+05,nonstructural,*total*,3.69904E-04,1.00000E-02
250,1.91319E+06,nonstructural,*total*,2.08067E-03,4.00000E-03
500,5.42686E+06,nonstructural,*total*,5.90192E-03,2.00000E-03
1000,1.34588E+07,nonstructural,*total*,1.46370E-02,1.00000E-03
2500,3.68738E+07,nonstructural,*total*,4.01017E-02,4.00000E-04
25,1.12111E-08,occupants,*total*,1.12694E-12,4.00000E-02
50,2.35680E-05,occupants,*total*,2.36905E-09,2.00000E-02
100,8.45218E-04,occupants,*total*,8.49613E-08,1.00000E-02
250,2.32666E-02,occupants,*total*,2.33876E-06,4.00000E-03
500,1.48455E-01,occupants,*total*,1.49227E-05,2.00000E-03
1000,6.47047E-01,occupants,*total*,6.50411E-05,1.00000E-03
2500,2.97323E+00,occupants,*total*,2.98869E-04,4.00000E-04
25,9.93661E+03,structural,*total*,2.49043E-05,4.00000E-02
50,1.02568E+05,structural,*total*,2.57070E-04,2.00000E-02
100,4.26244E+05,structural,*total*,1.06831E-03,1.00000E-02
250,1.73241E+06,structural,*total*,4.34197E-03,4.00000E-03
500,4.22607E+06,structural,*total*,1.05919E-02,2.00000E-03
1000,9.90096E+06,structural,*total*,2.48150E-02,1.00000E-03
2500,2.72236E+07,structural,*total*,6.82311E-02,4.00000E-04
