#,,,,,,,"generated_by='OpenQuake engine 3.12.0-gitf8d01fc', start_date='2021-04-26T19:36:09', checksum=1546346122, risk_investigation_time=1.0, kind='agg_curves-mean'"
return_period,loss_value,loss_type,nation,SS_Region,prname,loss_ratio,annual_frequency_of_exceedence
25,2.17736E+01,contents,Canada,East,Manitoba,6.63359E-09,4.00000E-02
50,2.57211E+03,contents,Canada,East,Manitoba,7.83622E-07,2.00000E-02
100,2.56513E+04,contents,Canada,East,Manitoba,7.81497E-06,1.00000E-02
250,1.80239E+05,contents,Canada,East,Manitoba,5.49118E-05,4.00000E-03
500,5.19817E+05,contents,Canada,East,Manitoba,1.58368E-04,2.00000E-03
1000,1.31213E+06,contents,Canada,East,Manitoba,3.99756E-04,1.00000E-03
2500,3.72136E+06,contents,Canada,East,Manitoba,1.13375E-03,4.00000E-04
25,5.56778E+01,nonstructural,Canada,East,Manitoba,4.09471E-09,4.00000E-02
50,5.77273E+03,nonstructural,Canada,East,Manitoba,4.24544E-07,2.00000E-02
100,6.19391E+04,nonstructural,Canada,East,Manitoba,4.55518E-06,1.00000E-02
250,5.32645E+05,nonstructural,Canada,East,Manitoba,3.91723E-05,4.00000E-03
500,1.85127E+06,nonstructural,Canada,East,Manitoba,1.36148E-04,2.00000E-03
1000,5.23893E+06,nonstructural,Canada,East,Manitoba,3.85286E-04,1.00000E-03
2500,1.52196E+07,nonstructural,Canada,East,Manitoba,1.11930E-03,4.00000E-04
100,8.30712E-07,occupants,Canada,East,Manitoba,8.95376E-12,1.00000E-02
250,5.03903E-04,occupants,Canada,East,Manitoba,5.43128E-09,4.00000E-03
500,5.87388E-03,occupants,Canada,East,Manitoba,6.33111E-08,2.00000E-03
1000,4.29211E-02,occupants,Canada,East,Manitoba,4.62622E-07,1.00000E-03
2500,2.56774E-01,occupants,Canada,East,Manitoba,2.76762E-06,4.00000E-04
25,1.99046E+03,structural,Canada,East,Manitoba,4.06854E-07,4.00000E-02
50,9.97160E+04,structural,Canada,East,Manitoba,2.03822E-05,2.00000E-02
100,6.33156E+05,structural,Canada,East,Manitoba,1.29418E-04,1.00000E-02
250,2.54641E+06,structural,Canada,East,Manitoba,5.20492E-04,4.00000E-03
500,4.97489E+06,structural,Canada,East,Manitoba,1.01688E-03,2.00000E-03
1000,8.68449E+06,structural,Canada,East,Manitoba,1.77513E-03,1.00000E-03
2500,1.60611E+07,structural,Canada,East,Manitoba,3.28292E-03,4.00000E-04
5,2.36735E+03,contents,Canada,East,New Brunswick / Nouveau-Brunswick,1.07149E-07,2.00000E-01
10,5.32992E+04,contents,Canada,East,New Brunswick / Nouveau-Brunswick,2.41239E-06,1.00000E-01
25,6.31590E+05,contents,Canada,East,New Brunswick / Nouveau-Brunswick,2.85865E-05,4.00000E-02
50,2.47894E+06,contents,Canada,East,New Brunswick / Nouveau-Brunswick,1.12200E-04,2.00000E-02
100,7.75192E+06,contents,Canada,East,New Brunswick / Nouveau-Brunswick,3.50861E-04,1.00000E-02
250,2.69703E+07,contents,Canada,East,New Brunswick / Nouveau-Brunswick,1.22071E-03,4.00000E-03
500,5.29075E+07,contents,Canada,East,New Brunswick / Nouveau-Brunswick,2.39466E-03,2.00000E-03
1000,9.15037E+07,contents,Canada,East,New Brunswick / Nouveau-Brunswick,4.14157E-03,1.00000E-03
2500,1.86770E+08,contents,Canada,East,New Brunswick / Nouveau-Brunswick,8.45343E-03,4.00000E-04
5,3.53981E+03,nonstructural,Canada,East,New Brunswick / Nouveau-Brunswick,3.65037E-08,2.00000E-01
10,1.06845E+05,nonstructural,Canada,East,New Brunswick / Nouveau-Brunswick,1.10182E-06,1.00000E-01
25,1.98265E+06,nonstructural,Canada,East,New Brunswick / Nouveau-Brunswick,2.04458E-05,4.00000E-02
50,9.43267E+06,nonstructural,Canada,East,New Brunswick / Nouveau-Brunswick,9.72729E-05,2.00000E-02
100,3.22504E+07,nonstructural,Canada,East,New Brunswick / Nouveau-Brunswick,3.32577E-04,1.00000E-02
250,1.15131E+08,nonstructural,Canada,East,New Brunswick / Nouveau-Brunswick,1.18727E-03,4.00000E-03
500,2.23518E+08,nonstructural,Canada,East,New Brunswick / Nouveau-Brunswick,2.30499E-03,2.00000E-03
1000,3.85855E+08,nonstructural,Canada,East,New Brunswick / Nouveau-Brunswick,3.97906E-03,1.00000E-03
2500,7.89073E+08,nonstructural,Canada,East,New Brunswick / Nouveau-Brunswick,8.13718E-03,4.00000E-04
10,1.30776E-05,occupants,Canada,East,New Brunswick / Nouveau-Brunswick,1.73501E-11,1.00000E-01
25,1.02226E-02,occupants,Canada,East,New Brunswick / Nouveau-Brunswick,1.35624E-08,4.00000E-02
50,1.27627E-01,occupants,Canada,East,New Brunswick / Nouveau-Brunswick,1.69324E-07,2.00000E-02
100,7.38520E-01,occupants,Canada,East,New Brunswick / Nouveau-Brunswick,9.79798E-07,1.00000E-02
250,3.96583E+00,occupants,Canada,East,New Brunswick / Nouveau-Brunswick,5.26149E-06,4.00000E-03
500,9.47451E+00,occupants,Canada,East,New Brunswick / Nouveau-Brunswick,1.25699E-05,2.00000E-03
1000,1.91404E+01,occupants,Canada,East,New Brunswick / Nouveau-Brunswick,2.53937E-05,1.00000E-03
2500,4.23019E+01,occupants,Canada,East,New Brunswick / Nouveau-Brunswick,5.61221E-05,4.00000E-04
5,1.35123E+05,structural,Canada,East,New Brunswick / Nouveau-Brunswick,3.95351E-06,2.00000E-01
10,2.14922E+06,structural,Canada,East,New Brunswick / Nouveau-Brunswick,6.28831E-05,1.00000E-01
25,1.48908E+07,structural,Canada,East,New Brunswick / Nouveau-Brunswick,4.35682E-04,4.00000E-02
50,3.72489E+07,structural,Canada,East,New Brunswick / Nouveau-Brunswick,1.08985E-03,2.00000E-02
100,7.33593E+07,structural,Canada,East,New Brunswick / Nouveau-Brunswick,2.14639E-03,1.00000E-02
250,1.53585E+08,structural,Canada,East,New Brunswick / Nouveau-Brunswick,4.49367E-03,4.00000E-03
500,2.34538E+08,structural,Canada,East,New Brunswick / Nouveau-Brunswick,6.86222E-03,2.00000E-03
1000,3.39741E+08,structural,Canada,East,New Brunswick / Nouveau-Brunswick,9.94032E-03,1.00000E-03
2500,5.83220E+08,structural,Canada,East,New Brunswick / Nouveau-Brunswick,1.70642E-02,4.00000E-04
5,1.03932E+02,contents,Canada,East,Nova Scotia / Nouvelle-Écosse,3.77765E-09,2.00000E-01
10,5.68824E+03,contents,Canada,East,Nova Scotia / Nouvelle-Écosse,2.06751E-07,1.00000E-01
25,9.31600E+04,contents,Canada,East,Nova Scotia / Nouvelle-Écosse,3.38610E-06,4.00000E-02
50,3.96887E+05,contents,Canada,East,Nova Scotia / Nouvelle-Écosse,1.44257E-05,2.00000E-02
100,1.64939E+06,contents,Canada,East,Nova Scotia / Nouvelle-Écosse,5.99504E-05,1.00000E-02
250,9.68808E+06,contents,Canada,East,Nova Scotia / Nouvelle-Écosse,3.52134E-04,4.00000E-03
500,3.45826E+07,contents,Canada,East,Nova Scotia / Nouvelle-Écosse,1.25698E-03,2.00000E-03
1000,7.65553E+07,contents,Canada,East,Nova Scotia / Nouvelle-Écosse,2.78256E-03,1.00000E-03
2500,1.95517E+08,contents,Canada,East,Nova Scotia / Nouvelle-Écosse,7.10649E-03,4.00000E-04
5,1.83646E+02,nonstructural,Canada,East,Nova Scotia / Nouvelle-Écosse,1.52221E-09,2.00000E-01
10,1.00099E+04,nonstructural,Canada,East,Nova Scotia / Nouvelle-Écosse,8.29705E-08,1.00000E-01
25,2.31403E+05,nonstructural,Canada,East,Nova Scotia / Nouvelle-Écosse,1.91806E-06,4.00000E-02
50,1.26438E+06,nonstructural,Canada,East,Nova Scotia / Nouvelle-Écosse,1.04803E-05,2.00000E-02
100,6.39259E+06,nonstructural,Canada,East,Nova Scotia / Nouvelle-Écosse,5.29871E-05,1.00000E-02
250,4.16306E+07,nonstructural,Canada,East,Nova Scotia / Nouvelle-Écosse,3.45069E-04,4.00000E-03
500,1.52132E+08,nonstructural,Canada,East,Nova Scotia / Nouvelle-Écosse,1.26100E-03,2.00000E-03
1000,3.32711E+08,nonstructural,Canada,East,Nova Scotia / Nouvelle-Écosse,2.75779E-03,1.00000E-03
2500,8.45138E+08,nonstructural,Canada,East,Nova Scotia / Nouvelle-Écosse,7.00521E-03,4.00000E-04
25,3.84118E-05,occupants,Canada,East,Nova Scotia / Nouvelle-Écosse,4.15245E-11,4.00000E-02
50,1.97138E-03,occupants,Canada,East,Nova Scotia / Nouvelle-Écosse,2.13113E-09,2.00000E-02
100,3.93672E-02,occupants,Canada,East,Nova Scotia / Nouvelle-Écosse,4.25573E-08,1.00000E-02
250,8.02083E-01,occupants,Canada,East,Nova Scotia / Nouvelle-Écosse,8.67079E-07,4.00000E-03
500,4.81251E+00,occupants,Canada,East,Nova Scotia / Nouvelle-Écosse,5.20248E-06,2.00000E-03
1000,1.30039E+01,occupants,Canada,East,Nova Scotia / Nouvelle-Écosse,1.40577E-05,1.00000E-03
2500,4.08323E+01,occupants,Canada,East,Nova Scotia / Nouvelle-Écosse,4.41411E-05,4.00000E-04
