#,,,,,,,"generated_by='OpenQuake engine 3.12.0-gitf8d01fc', start_date='2021-04-26T19:36:09', checksum=1546346122, risk_investigation_time=1.0, kind='agg_curves-quantile-0.05'"
return_period,loss_value,loss_type,nation,SS_Region,prname,loss_ratio,annual_frequency_of_exceedence
10,3.99957E+05,structural,Canada,West,Yukon,1.45007E-04,1.00000E-01
25,1.50654E+06,structural,Canada,West,Yukon,5.46206E-04,4.00000E-02
50,3.16552E+06,structural,Canada,West,Yukon,1.14768E-03,2.00000E-02
100,5.62606E+06,structural,Canada,West,Yukon,2.03977E-03,1.00000E-02
250,1.03135E+07,structural,Canada,West,Yukon,3.73925E-03,4.00000E-03
500,1.58610E+07,structural,Canada,West,Yukon,5.75052E-03,2.00000E-03
1000,2.34682E+07,structural,Canada,West,Yukon,8.50855E-03,1.00000E-03
2500,4.71705E+07,structural,Canada,West,Yukon,1.71020E-02,4.00000E-04
100,2.60076E+02,contents,Canada,East,Manitoba,7.92353E-08,1.00000E-02
250,1.62106E+04,contents,Canada,East,Manitoba,4.93874E-06,4.00000E-03
500,6.30039E+04,contents,Canada,East,Manitoba,1.91949E-05,2.00000E-03
1000,1.97262E+05,contents,Canada,East,Manitoba,6.00981E-05,1.00000E-03
2500,5.47256E+05,contents,Canada,East,Manitoba,1.66728E-04,4.00000E-04
100,6.82043E+02,nonstructural,Canada,East,Manitoba,5.01594E-08,1.00000E-02
250,3.79133E+04,nonstructural,Canada,East,Manitoba,2.78826E-06,4.00000E-03
500,1.53017E+05,nonstructural,Canada,East,Manitoba,1.12533E-05,2.00000E-03
1000,4.90669E+05,nonstructural,Canada,East,Manitoba,3.60852E-05,1.00000E-03
2500,1.72976E+06,nonstructural,Canada,East,Manitoba,1.27212E-04,4.00000E-04
1000,5.18286E-05,occupants,Canada,East,Manitoba,5.58630E-10,1.00000E-03
2500,1.35828E-03,occupants,Canada,East,Manitoba,1.46401E-08,4.00000E-04
100,2.31348E+04,structural,Canada,East,Manitoba,4.72880E-06,1.00000E-02
250,5.54931E+05,structural,Canada,East,Manitoba,1.13429E-04,4.00000E-03
500,1.47597E+06,structural,Canada,East,Manitoba,3.01692E-04,2.00000E-03
1000,2.96667E+06,structural,Canada,East,Manitoba,6.06394E-04,1.00000E-03
2500,5.64583E+06,structural,Canada,East,Manitoba,1.15402E-03,4.00000E-04
25,1.91225E+04,contents,Canada,East,New Brunswick / Nouveau-Brunswick,8.65508E-07,4.00000E-02
50,1.80357E+05,contents,Canada,East,New Brunswick / Nouveau-Brunswick,8.16319E-06,2.00000E-02
100,6.61477E+05,contents,Canada,East,New Brunswick / Nouveau-Brunswick,2.99393E-05,1.00000E-02
250,2.17434E+06,contents,Canada,East,New Brunswick / Nouveau-Brunswick,9.84133E-05,4.00000E-03
500,4.76784E+06,contents,Canada,East,New Brunswick / Nouveau-Brunswick,2.15798E-04,2.00000E-03
1000,9.27072E+06,contents,Canada,East,New Brunswick / Nouveau-Brunswick,4.19604E-04,1.00000E-03
2500,1.74031E+07,contents,Canada,East,New Brunswick / Nouveau-Brunswick,7.87687E-04,4.00000E-04
25,2.85262E+04,nonstructural,Canada,East,New Brunswick / Nouveau-Brunswick,2.94172E-07,4.00000E-02
50,3.50711E+05,nonstructural,Canada,East,New Brunswick / Nouveau-Brunswick,3.61664E-06,2.00000E-02
100,1.63186E+06,nonstructural,Canada,East,New Brunswick / Nouveau-Brunswick,1.68283E-05,1.00000E-02
250,7.14114E+06,nonstructural,Canada,East,New Brunswick / Nouveau-Brunswick,7.36418E-05,4.00000E-03
500,1.73380E+07,nonstructural,Canada,East,New Brunswick / Nouveau-Brunswick,1.78795E-04,2.00000E-03
1000,3.89339E+07,nonstructural,Canada,East,New Brunswick / Nouveau-Brunswick,4.01500E-04,1.00000E-03
2500,6.94347E+07,nonstructural,Canada,East,New Brunswick / Nouveau-Brunswick,7.16034E-04,4.00000E-04
100,1.02247E-03,occupants,Canada,East,New Brunswick / Nouveau-Brunswick,1.35652E-09,1.00000E-02
250,3.16974E-02,occupants,Canada,East,New Brunswick / Nouveau-Brunswick,4.20530E-08,4.00000E-03
500,2.11862E-01,occupants,Canada,East,New Brunswick / Nouveau-Brunswick,2.81079E-07,2.00000E-03
1000,7.46624E-01,occupants,Canada,East,New Brunswick / Nouveau-Brunswick,9.90549E-07,1.00000E-03
2500,2.63528E+00,occupants,Canada,East,New Brunswick / Nouveau-Brunswick,3.49624E-06,4.00000E-04
25,1.16961E+06,structural,Canada,East,New Brunswick / Nouveau-Brunswick,3.42209E-05,4.00000E-02
50,7.20140E+06,structural,Canada,East,New Brunswick / Nouveau-Brunswick,2.10702E-04,2.00000E-02
100,2.03867E+07,structural,Canada,East,New Brunswick / Nouveau-Brunswick,5.96486E-04,1.00000E-02
250,4.64612E+07,structural,Canada,East,New Brunswick / Nouveau-Brunswick,1.35939E-03,4.00000E-03
500,7.09832E+07,structural,Canada,East,New Brunswick / Nouveau-Brunswick,2.07686E-03,2.00000E-03
1000,9.77393E+07,structural,Canada,East,New Brunswick / Nouveau-Brunswick,2.85971E-03,1.00000E-03
2500,1.37882E+08,structural,Canada,East,New Brunswick / Nouveau-Brunswick,4.03421E-03,4.00000E-04
25,1.12466E+02,contents,Canada,East,Nova Scotia / Nouvelle-Écosse,4.08783E-09,4.00000E-02
50,1.20893E+04,contents,Canada,East,Nova Scotia / Nouvelle-Écosse,4.39410E-07,2.00000E-02
100,9.30367E+04,contents,Canada,East,Nova Scotia / Nouvelle-Écosse,3.38162E-06,1.00000E-02
250,3.96182E+05,contents,Canada,East,Nova Scotia / Nouvelle-Écosse,1.44001E-05,4.00000E-03
500,9.34506E+05,contents,Canada,East,Nova Scotia / Nouvelle-Écosse,3.39666E-05,2.00000E-03
1000,1.70643E+06,contents,Canada,East,Nova Scotia / Nouvelle-Écosse,6.20239E-05,1.00000E-03
2500,3.36457E+06,contents,Canada,East,Nova Scotia / Nouvelle-Écosse,1.22292E-04,4.00000E-04
25,2.55001E+02,nonstructural,Canada,East,Nova Scotia / Nouvelle-Écosse,2.11366E-09,4.00000E-02
50,2.02024E+04,nonstructural,Canada,East,Nova Scotia / Nouvelle-Écosse,1.67454E-07,2.00000E-02
100,1.67658E+05,nonstructural,Canada,East,Nova Scotia / Nouvelle-Écosse,1.38969E-06,1.00000E-02
250,8.69713E+05,nonstructural,Canada,East,Nova Scotia / Nouvelle-Écosse,7.20890E-06,4.00000E-03
500,2.30756E+06,nonstructural,Canada,East,Nova Scotia / Nouvelle-Écosse,1.91270E-05,2.00000E-03
1000,5.64067E+06,nonstructural,Canada,East,Nova Scotia / Nouvelle-Écosse,4.67545E-05,1.00000E-03
2500,1.16461E+07,nonstructural,Canada,East,Nova Scotia / Nouvelle-Écosse,9.65322E-05,4.00000E-04
250,1.66805E-06,occupants,Canada,East,Nova Scotia / Nouvelle-Écosse,1.80322E-12,4.00000E-03
