#,,,,,,,"generated_by='OpenQuake engine 3.11.3-git0cccb86798', start_date='2021-06-23T19:26:42', checksum=2938527266, investigation_time=1.0, risk_investigation_time=1.0"
event_id,contents,nonstructural,occupants,structural,rlz_id,rup_id,year
1034,4.35117E+04,3.86564E+04,0.00000E+00,2.05226E+03,0,497,1
1035,1.87619E+04,2.08694E+04,0.00000E+00,2.03998E+03,0,498,1
1036,5.29276E+03,7.16946E+03,0.00000E+00,5.36354E+02,0,499,1
1037,1.25325E+06,4.16362E+06,1.23431E-01,2.00896E+06,0,500,1
1048,1.01551E+03,7.29113E+02,0.00000E+00,1.01406E+03,0,511,1
1049,5.71293E+04,5.61441E+04,0.00000E+00,4.70028E+03,0,512,1
1050,2.18405E+04,2.05393E+04,0.00000E+00,9.05423E+03,0,513,1
1051,1.37606E+05,2.04012E+05,0.00000E+00,2.19591E+04,0,514,1
1052,6.00690E+04,7.82207E+04,0.00000E+00,3.87600E+03,0,515,1
1053,4.16846E+04,4.90039E+04,0.00000E+00,1.70674E+03,0,516,1
1054,1.03805E+05,1.12517E+05,0.00000E+00,2.82046E+04,0,517,1
1055,4.40561E+05,5.86374E+05,2.13245E-04,1.74424E+05,0,518,1
1056,1.98539E+06,4.96683E+06,6.46882E-03,1.75840E+06,0,519,1
1057,3.02731E+06,8.28276E+06,1.05794E-01,3.06594E+06,0,520,1
1064,1.52593E+00,1.17247E+03,0.00000E+00,1.40610E+02,0,527,1
1065,1.92994E+03,2.72533E+03,0.00000E+00,0.00000E+00,0,528,1
1066,2.48686E+06,7.62036E+06,1.01845E-01,3.74849E+06,0,529,1
1073,1.43224E+03,2.01806E+03,0.00000E+00,0.00000E+00,0,536,1
1074,1.46094E+05,3.71730E+05,6.54562E-06,6.48232E+04,0,537,1
1075,1.47572E+05,1.95075E+05,0.00000E+00,1.58665E+04,0,538,1
1076,7.25850E+05,1.08878E+06,8.93300E-05,2.63386E+05,0,539,1
1077,2.82793E+05,4.98479E+05,9.30844E-06,8.55931E+04,0,540,1
1083,2.48782E+03,2.66676E+03,0.00000E+00,0.00000E+00,0,546,1
1085,3.48526E+05,3.74032E+05,0.00000E+00,6.96425E+04,0,547,1
1086,9.63696E+04,7.93883E+04,0.00000E+00,2.03220E+04,0,548,1
1087,1.17259E+06,2.41837E+06,1.99802E-03,8.78736E+05,0,549,1
1088,5.38884E+05,8.37468E+05,3.63889E-04,2.14834E+05,0,550,1
1093,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0,554,1
1095,9.80643E+02,7.03683E+02,0.00000E+00,9.98341E+02,0,556,1
1098,3.89879E+03,6.02405E+03,0.00000E+00,1.62949E+02,0,559,1
1100,1.43258E+05,1.27653E+05,0.00000E+00,2.68685E+04,0,561,1
1101,3.16591E+05,3.44487E+05,0.00000E+00,7.31839E+04,0,562,1
1102,4.71786E+05,6.31801E+05,2.79695E-04,1.53526E+05,0,563,1
1103,4.98977E+05,6.91892E+05,4.99808E-02,2.21229E+05,0,564,1
1111,5.10533E+03,3.66769E+03,0.00000E+00,0.00000E+00,0,572,1
1113,4.55062E+03,4.14411E+03,0.00000E+00,3.27961E+03,0,574,1
1114,5.75661E+03,4.29442E+03,0.00000E+00,7.47890E+03,0,575,1
1115,5.07996E+04,3.99918E+04,0.00000E+00,1.64272E+04,0,576,1
1116,3.99838E+04,5.69153E+04,0.00000E+00,2.44987E+03,0,577,1
1117,1.75379E+05,1.90221E+05,0.00000E+00,3.68169E+04,0,578,1
1118,2.48932E+05,7.57237E+05,1.79873E-04,1.48553E+05,0,579,1
1119,1.97941E+05,1.90231E+05,0.00000E+00,3.62297E+04,0,580,1
1120,1.23144E+05,1.43278E+05,0.00000E+00,1.23454E+04,0,581,1
1121,8.48617E+05,2.09071E+06,9.07775E-03,6.53047E+05,0,582,1
1130,3.39008E+04,3.43560E+04,0.00000E+00,1.60482E+04,0,591,1
1132,3.20210E+03,3.20531E+03,0.00000E+00,0.00000E+00,0,593,1
1133,5.47326E+05,7.98092E+05,5.17282E-06,1.28987E+05,0,594,1
1134,7.04914E+05,1.15103E+06,1.49783E-04,2.38230E+05,0,595,1
1148,3.91353E+05,8.64852E+05,1.41347E-03,1.79784E+05,0,609,1
1149,1.89132E+06,4.98099E+06,5.13775E-02,1.94083E+06,0,610,1
1150,2.95605E+06,9.66225E+06,3.69278E-01,4.88837E+06,0,611,1
1160,8.07428E+05,1.33598E+06,1.13639E-04,2.55057E+05,0,621,1
1161,8.70527E+05,2.20625E+06,1.04806E-01,6.45996E+05,0,622,1
1167,6.24364E+00,2.92126E+03,0.00000E+00,5.62959E+02,0,628,1
1168,4.20510E+04,4.41387E+04,0.00000E+00,1.10726E+04,0,629,1
1169,8.09190E+05,1.24884E+06,2.06359E-04,2.72294E+05,0,630,1
1170,6.10117E+05,9.46671E+05,1.81239E-04,2.45907E+05,0,631,1
1171,6.05500E+05,1.22400E+06,8.00292E-04,2.91768E+05,0,632,1
